Sl. No,Body Part,Type of Bionic Chip,Average Cost (INR),Country of Origin,Vulnerability Identified,Impact Score
771,Ankle,Retinal Implant Chips,5741834,UK,Communication Vulnerabilities,1
772,Cochlea,Cochlear Implant Chips,4218810,Switzerland,,
773,Ear,Advanced Bionics HiRes Ultra Cochlear Implant,4693718,USA,,
774,Ear,DePuy Synthes ATTUNE® Primary Total Hip System,1242775,USA,,
775,Hand,Myoelectric Control Chips,5583544,Iceland,,
776,Hand,POWER KNEE by Össur,1581958,USA,,
777,Leg,Zimmer Biomet Comprehensive Reverse Shoulder System,4890766,UK,,
778,Bladder,Artificial Pancreas Control Chips,5928442,USA,,
779,Cochlea,Integra LifeSciences Cadence Total Ankle System,2630213,USA,,
780,Spine,Integra LifeSciences Cadence Total Ankle System,6787100,USA,,
781,Foot,POWER KNEE by Össur,2088893,USA,,
782,Heart,Zimmer Biomet Comprehensive Reverse Shoulder System,4430769,UK,,
783,Shoulder,Neuroprosthetic Chips,4716475,Germany,,
784,Bladder,Össur Proprio Foot Prosthetic Foot,5403063,USA,,
785,Limbs (Arm/Leg),Zimmer Biomet Comprehensive Reverse Shoulder System,6799436,USA,,
786,Knee,Retinal Implant Chips,6628831,Iceland,,
787,Pancreas,GENUTECH Genutrain OA Prosthetic Knee Implant,1303319,Switzerland,,
788,Spine,i-Limb Ultra Prosthetic Hand Control System,4168241,USA,,
789,Spine,Neuroprosthetic Chips,2482985,UK,Hardware Vulnerabilities,4
790,Arm,Cardiac Implant Chips,165952,China,Hardware Vulnerabilities,8
791,Heart,Artificial Urinary Sphincter Control System,4264447,Iceland,Hardware Vulnerabilities,7
792,Hip,Cardiac Implant Chips,5616208,USA,,
793,Spine,Cochlear Implant Chips,2664745,USA,,
794,Ear,Artificial Urinary Sphincter Control System,1669916,USA,Hardware Vulnerabilities,8
795,Foot,DePuy Synthes ATTUNE® Primary Total Hip System,2972999,USA,,
796,Brain,Artificial Urinary Sphincter Control System,1142043,Iceland,,
797,Ankle,DePuy Synthes ATTUNE® Primary Total Hip System,6031255,USA,,
798,Cochlea,Zimmer Biomet Comprehensive Reverse Shoulder System,96734,China,Hardware Vulnerabilities,9
799,Brain,POWER KNEE by Össur,2162971,Iceland,,
800,Spine,Neuroprosthetic Chips,6595330,USA,,
801,Leg,DePuy Synthes ATTUNE® Primary Total Hip System,174130,China,Hardware Vulnerabilities,9
802,Knee,Integra LifeSciences Cadence Total Ankle System,6283282,USA,,
803,Heart,Artificial Pancreas Control Chips,2721058,USA,,
804,Knee,Artificial Urinary Sphincter Control System,1578110,Switzerland,,
805,Hand,GENUTECH Genutrain OA Prosthetic Knee Implant,2935632,Switzerland,,
806,Ear,POWER KNEE by Össur,4269233,USA,,
807,Heart,Advanced Bionics HiRes Ultra Cochlear Implant,997116,Iceland,Weak Password Policy,6
808,Bladder,Zimmer Biomet Comprehensive Reverse Shoulder System,5179031,Germany,,
809,Knee,Retinal Implant Chips,5646250,USA,,
810,Ear,Cardiac Implant Chips,3931963,USA,Hardware Vulnerabilities,5
811,Heart,Artificial Pancreas Control Chips,6157788,USA,,
812,Hand,Össur Proprio Foot Prosthetic Foot,86926,China,Software Vulnerabilities,8
813,Arm,Össur Proprio Foot Prosthetic Foot,6385206,Iceland,,
814,Knee,POWER KNEE by Össur,6703726,USA,Software Vulnerabilities,3
815,Cochlea,POWER KNEE by Össur,1165558,USA,,
816,Arm,Retinal Implant Chips,3854324,USA,,
817,Shoulder,POWER KNEE by Össur,1938989,Iceland,,
818,Ankle,Zimmer Biomet Comprehensive Reverse Shoulder System,4894574,Switzerland,,
819,Hip,Zimmer Biomet Comprehensive Reverse Shoulder System,2867517,USA,,
820,Eye,Myoelectric Control Chips,4961678,USA,,
821,Brain,Artificial Pancreas Control Chips,3803539,USA,,
822,Cochlea,Neuroprosthetic Chips,3970215,USA,,
823,Knee,i-Limb Ultra Prosthetic Hand Control System,3074288,Iceland,,
824,Hand,Zimmer Biomet Comprehensive Reverse Shoulder System,1384067,USA,Hardware Vulnerabilities,7
825,Ankle,Advanced Bionics HiRes Ultra Cochlear Implant,3990720,Germany,,
826,Spine,Neurostimulator Implants for Chronic Pain,3509287,Iceland,,
827,Heart,Cardiac Implant Chips,4017703,USA,,
828,Shoulder,Össur Proprio Foot Prosthetic Foot,5617754,Iceland,,
829,Hip,Retinal Implant Chips,3213867,USA,,
830,Spine,Cochlear Implant Chips,5188969,USA,Communication Vulnerabilities,4
831,Spine,Integra LifeSciences Cadence Total Ankle System,3070081,USA,,
832,Cochlea,Neurostimulator Implants for Chronic Pain,1686725,USA,,
833,Hip,Myoelectric Control Chips,1028236,USA,,
834,Knee,Integra LifeSciences Cadence Total Ankle System,6965320,USA,,
835,Arm,Cochlear Implant Chips,2064830,USA,Software Vulnerabilities,3
836,Leg,Cardiac Implant Chips,6780741,Germany,Weak Password Policy,4
837,Knee,Össur Proprio Foot Prosthetic Foot,4169230,UK,Hardware Vulnerabilities,7
838,Leg,DePuy Synthes ATTUNE® Primary Total Hip System,1521405,Iceland,,
839,Limbs (Arm/Leg),GENUTECH Genutrain OA Prosthetic Knee Implant,1890478,USA,,
840,Bladder,Cochlear Implant Chips,1857075,USA,,
841,Heart,GENUTECH Genutrain OA Prosthetic Knee Implant,1711688,USA,Software Vulnerabilities,9
842,Brain,Modular Prosthetic Limb Control System,5649134,USA,,
843,Limbs (Arm/Leg),POWER KNEE by Össur,6330379,USA,,
844,Limbs (Arm/Leg),Modular Prosthetic Limb Control System,1333376,USA,Hardware Vulnerabilities,8
845,Arm,Modular Prosthetic Limb Control System,6791098,USA,,
846,Bladder,DePuy Synthes ATTUNE® Primary Total Hip System,3367030,USA,,
847,Ankle,POWER KNEE by Össur,3335448,USA,,
848,Eye,Myoelectric Control Chips,1658423,Germany,Hardware Vulnerabilities,6
849,Eye,Integra LifeSciences Cadence Total Ankle System,6844781,USA,,
850,Eye,GENUTECH Genutrain OA Prosthetic Knee Implant,4954836,USA,,
851,Limbs (Arm/Leg),POWER KNEE by Össur,4860436,USA,,
852,Bladder,Össur Proprio Foot Prosthetic Foot,3857303,USA,,
853,Hip,Cochlear Implant Chips,278828,China,,
854,Knee,Advanced Bionics HiRes Ultra Cochlear Implant,4443977,Iceland,Hardware Vulnerabilities,3
855,Eye,Myoelectric Control Chips,3357698,USA,,
856,Knee,Artificial Urinary Sphincter Control System,3835817,USA,,
857,Hand,Artificial Pancreas Control Chips,70163,China,Communication Vulnerabilities,8
858,Ankle,Neuroprosthetic Chips,6597858,USA,,
859,Eye,Artificial Pancreas Control Chips,4562270,USA,,
860,Shoulder,Modular Prosthetic Limb Control System,2906012,USA,Weak Password Policy,8
861,Pancreas,Cardiac Implant Chips,6920303,USA,,
862,Bladder,POWER KNEE by Össur,4100059,USA,Hardware Vulnerabilities,9
863,Limbs (Arm/Leg),Artificial Urinary Sphincter Control System,2069550,USA,,
864,Ear,Integra LifeSciences Cadence Total Ankle System,5359669,USA,,
865,Heart,Myoelectric Control Chips,5260519,USA,,
866,Foot,Cardiac Implant Chips,3882439,USA,,
867,Ankle,Artificial Pancreas Control Chips,1240460,USA,,
868,Ankle,Neuroprosthetic Chips,119511,China,,
869,Eye,Cardiac Implant Chips,2855315,USA,Hardware Vulnerabilities,9
870,Shoulder,Modular Prosthetic Limb Control System,4124673,USA,,
871,Limbs (Arm/Leg),Neuroprosthetic Chips,6194525,USA,,
872,Limbs (Arm/Leg),Retinal Implant Chips,1349842,Switzerland,,
873,Bladder,Neuroprosthetic Chips,1939958,Germany,,
874,Arm,Neurostimulator Implants for Chronic Pain,5388217,USA,,
875,Ear,Cochlear Implant Chips,3505275,USA,,
876,Shoulder,Össur Proprio Foot Prosthetic Foot,6042095,UK,,
877,Hip,i-Limb Ultra Prosthetic Hand Control System,3757979,USA,,
878,Eye,POWER KNEE by Össur,6467201,USA,,
879,Knee,Össur Proprio Foot Prosthetic Foot,6684361,USA,,
880,Leg,Artificial Urinary Sphincter Control System,3735847,Iceland,,
881,Heart,i-Limb Ultra Prosthetic Hand Control System,1524025,USA,,
882,Heart,Artificial Pancreas Control Chips,3025863,Germany,,
883,Pancreas,Össur Proprio Foot Prosthetic Foot,1685244,Iceland,,
884,Eye,GENUTECH Genutrain OA Prosthetic Knee Implant,5052729,USA,,
885,Ear,DePuy Synthes ATTUNE® Primary Total Hip System,6153385,USA,Software Vulnerabilities,9
886,Leg,Artificial Urinary Sphincter Control System,4627762,Germany,,
887,Pancreas,Zimmer Biomet Comprehensive Reverse Shoulder System,6721697,USA,,
888,Eye,Zimmer Biomet Comprehensive Reverse Shoulder System,1758076,UK,Weak Password Policy,6
889,Ankle,DePuy Synthes ATTUNE® Primary Total Hip System,3076540,USA,Hardware Vulnerabilities,8
890,Ankle,Advanced Bionics HiRes Ultra Cochlear Implant,1892548,USA,Hardware Vulnerabilities,4
891,Hand,DePuy Synthes ATTUNE® Primary Total Hip System,164631,China,Software Vulnerabilities,9
892,Knee,Advanced Bionics HiRes Ultra Cochlear Implant,2290298,Germany,,
893,Hand,Cochlear Implant Chips,804577,Iceland,,
894,Knee,Modular Prosthetic Limb Control System,1388876,USA,,
895,Cochlea,Cardiac Implant Chips,1808077,Germany,,
896,Limbs (Arm/Leg),Artificial Urinary Sphincter Control System,3236408,USA,,
897,Ankle,GENUTECH Genutrain OA Prosthetic Knee Implant,1657021,Iceland,,
898,Shoulder,Artificial Pancreas Control Chips,111472,China,Weak Password Policy,9
899,Bladder,Retinal Implant Chips,3712541,Germany,,
900,Cochlea,Advanced Bionics HiRes Ultra Cochlear Implant,3146320,USA,,
901,Foot,Neuroprosthetic Chips,243291,China,Weak Password Policy,8
902,Bladder,i-Limb Ultra Prosthetic Hand Control System,5264705,USA,,
903,Pancreas,Neurostimulator Implants for Chronic Pain,6898207,USA,,
904,Knee,Myoelectric Control Chips,2443959,Iceland,,
905,Ear,Artificial Urinary Sphincter Control System,237861,China,,
906,Limbs (Arm/Leg),Neuroprosthetic Chips,3455480,USA,,
907,Arm,Myoelectric Control Chips,6886002,USA,,
908,Knee,Neurostimulator Implants for Chronic Pain,4826645,USA,Weak Password Policy,7
909,Ankle,Artificial Urinary Sphincter Control System,2360589,USA,,
910,Arm,Neurostimulator Implants for Chronic Pain,75212,China,Hardware Vulnerabilities,9
911,Hand,Artificial Pancreas Control Chips,1575530,USA,,
912,Hand,i-Limb Ultra Prosthetic Hand Control System,5377336,USA,,
913,Foot,Cardiac Implant Chips,1924302,Germany,,
914,Ankle,Retinal Implant Chips,4080660,USA,Communication Vulnerabilities,2
915,Hand,Artificial Urinary Sphincter Control System,6283840,USA,,
916,Brain,Modular Prosthetic Limb Control System,2504932,Iceland,,
917,Ear,Retinal Implant Chips,3036044,USA,,
918,Spine,POWER KNEE by Össur,1441307,USA,,
919,Pancreas,Neuroprosthetic Chips,863556,UK,,
920,Pancreas,GENUTECH Genutrain OA Prosthetic Knee Implant,1840702,USA,,
921,Arm,Cochlear Implant Chips,1295761,USA,,
922,Heart,Artificial Pancreas Control Chips,2023344,USA,,
923,Shoulder,Artificial Pancreas Control Chips,3584433,USA,,
924,Arm,Artificial Pancreas Control Chips,3171053,USA,,
925,Ankle,Neurostimulator Implants for Chronic Pain,889504,USA,Communication Vulnerabilities,7
926,Heart,Neurostimulator Implants for Chronic Pain,4395092,UK,Weak Password Policy,7
927,Foot,Integra LifeSciences Cadence Total Ankle System,3028234,Germany,,
928,Eye,Advanced Bionics HiRes Ultra Cochlear Implant,240867,China,,
929,Hand,Retinal Implant Chips,4592020,USA,,
930,Ankle,GENUTECH Genutrain OA Prosthetic Knee Implant,6343019,USA,,
931,Ankle,Cochlear Implant Chips,4605508,USA,Weak Password Policy,2
932,Ankle,Neuroprosthetic Chips,5755101,USA,,
933,Shoulder,Artificial Urinary Sphincter Control System,3671063,USA,,
934,Cochlea,Neuroprosthetic Chips,6618680,Iceland,Weak Password Policy,3
935,Cochlea,Cardiac Implant Chips,1938004,Switzerland,,
936,Eye,Integra LifeSciences Cadence Total Ankle System,2527272,Germany,,
937,Bladder,Neuroprosthetic Chips,6537185,USA,,
938,Cochlea,Modular Prosthetic Limb Control System,63370,China,,
939,Shoulder,POWER KNEE by Össur,955857,Iceland,,
940,Shoulder,Myoelectric Control Chips,4322353,USA,,
941,Shoulder,Össur Proprio Foot Prosthetic Foot,3145249,USA,,
942,Ankle,DePuy Synthes ATTUNE® Primary Total Hip System,4342927,UK,,
943,Ankle,Cochlear Implant Chips,5052974,USA,,
944,Spine,Neuroprosthetic Chips,5054748,USA,,
945,Spine,i-Limb Ultra Prosthetic Hand Control System,59476,China,Software Vulnerabilities,8
946,Ear,Integra LifeSciences Cadence Total Ankle System,6566096,Germany,,
947,Hand,Integra LifeSciences Cadence Total Ankle System,1088910,USA,,
948,Eye,Össur Proprio Foot Prosthetic Foot,4972061,Iceland,,
949,Ankle,GENUTECH Genutrain OA Prosthetic Knee Implant,5508291,USA,,
950,Arm,Artificial Urinary Sphincter Control System,1405235,USA,,
951,Limbs (Arm/Leg),Integra LifeSciences Cadence Total Ankle System,6420924,USA,,
952,Ear,Össur Proprio Foot Prosthetic Foot,6846972,Germany,Software Vulnerabilities,5
953,Arm,Modular Prosthetic Limb Control System,6687969,USA,,
954,Brain,Retinal Implant Chips,6188228,USA,,
955,Ankle,GENUTECH Genutrain OA Prosthetic Knee Implant,2242561,USA,,
956,Leg,POWER KNEE by Össur,6057006,Germany,,
957,Ankle,GENUTECH Genutrain OA Prosthetic Knee Implant,4878685,USA,,
958,Heart,Neurostimulator Implants for Chronic Pain,5630983,USA,,
959,Brain,DePuy Synthes ATTUNE® Primary Total Hip System,1536469,USA,,
960,Spine,Artificial Pancreas Control Chips,1553374,Iceland,,
961,Hand,Artificial Pancreas Control Chips,6492760,USA,Weak Password Policy,5
962,Pancreas,i-Limb Ultra Prosthetic Hand Control System,4127913,Iceland,Software Vulnerabilities,8
963,Hand,GENUTECH Genutrain OA Prosthetic Knee Implant,6042779,Iceland,,
964,Arm,Artificial Urinary Sphincter Control System,5967621,USA,,
965,Spine,Össur Proprio Foot Prosthetic Foot,4514169,USA,,
966,Brain,Zimmer Biomet Comprehensive Reverse Shoulder System,4649411,USA,Communication Vulnerabilities,9
967,Leg,Össur Proprio Foot Prosthetic Foot,3263876,USA,Hardware Vulnerabilities,4
968,Shoulder,Neurostimulator Implants for Chronic Pain,1828278,USA,,
969,Ear,Cochlear Implant Chips,6748939,USA,,
970,Bladder,Cardiac Implant Chips,1516565,USA,,
971,Eye,DePuy Synthes ATTUNE® Primary Total Hip System,2019808,USA,Communication Vulnerabilities,8
972,Foot,Myoelectric Control Chips,243972,China,Communication Vulnerabilities,8
973,Leg,Modular Prosthetic Limb Control System,277159,China,,
974,Cochlea,Advanced Bionics HiRes Ultra Cochlear Implant,3801073,USA,Weak Password Policy,8
975,Heart,Össur Proprio Foot Prosthetic Foot,1724629,USA,,
976,Hand,DePuy Synthes ATTUNE® Primary Total Hip System,5227880,Germany,,
977,Pancreas,Össur Proprio Foot Prosthetic Foot,2469509,UK,,
978,Hip,Integra LifeSciences Cadence Total Ankle System,6081972,Iceland,,
979,Limbs (Arm/Leg),Össur Proprio Foot Prosthetic Foot,6790453,Germany,,
980,Ankle,Zimmer Biomet Comprehensive Reverse Shoulder System,124086,China,,
981,Shoulder,Artificial Pancreas Control Chips,282840,China,,
982,Hip,POWER KNEE by Össur,2143404,USA,,
983,Brain,Cardiac Implant Chips,4999927,USA,,
984,Hip,Cochlear Implant Chips,4768063,USA,,
985,Hand,DePuy Synthes ATTUNE® Primary Total Hip System,4137568,USA,Weak Password Policy,6
986,Ankle,Neuroprosthetic Chips,6872652,USA,Hardware Vulnerabilities,4
987,Cochlea,Cochlear Implant Chips,5993998,Iceland,Weak Password Policy,4
988,Arm,Retinal Implant Chips,2556198,Iceland,,
989,Knee,Artificial Urinary Sphincter Control System,2038014,Iceland,,
990,Pancreas,Artificial Pancreas Control Chips,2843198,Germany,,
991,Pancreas,Neurostimulator Implants for Chronic Pain,6075451,USA,,
992,Cochlea,DePuy Synthes ATTUNE® Primary Total Hip System,2116821,Iceland,,
993,Limbs (Arm/Leg),Artificial Pancreas Control Chips,1912921,USA,Weak Password Policy,8
994,Hip,Integra LifeSciences Cadence Total Ankle System,3962501,USA,,
995,Pancreas,Myoelectric Control Chips,3913595,USA,,
996,Ankle,Integra LifeSciences Cadence Total Ankle System,1546081,USA,,
997,Bladder,Artificial Urinary Sphincter Control System,127250,China,,
998,Arm,Modular Prosthetic Limb Control System,4634912,Germany,,
999,Pancreas,POWER KNEE by Össur,4875953,USA,,
1000,Ankle,Neurostimulator Implants for Chronic Pain,1630036,USA,,
1001,Ankle,POWER KNEE by Össur,3329698,USA,,
1002,Knee,Cardiac Implant Chips,1062974,USA,Weak Password Policy,9
1003,Pancreas,DePuy Synthes ATTUNE® Primary Total Hip System,1311412,USA,,
1004,Hand,Advanced Bionics HiRes Ultra Cochlear Implant,2312623,USA,,
1005,Foot,GENUTECH Genutrain OA Prosthetic Knee Implant,5341733,UK,,
1006,Brain,POWER KNEE by Össur,2468844,USA,,
1007,Heart,Neuroprosthetic Chips,2543143,USA,,
1008,Shoulder,DePuy Synthes ATTUNE® Primary Total Hip System,993311,USA,,
1009,Ear,Integra LifeSciences Cadence Total Ankle System,5171487,USA,,
1010,Pancreas,DePuy Synthes ATTUNE® Primary Total Hip System,4474553,USA,Weak Password Policy,6
1011,Foot,Neuroprosthetic Chips,4044982,USA,,
1012,Bladder,Össur Proprio Foot Prosthetic Foot,4408052,USA,,
1013,Knee,Retinal Implant Chips,3256818,USA,,
1014,Spine,Neurostimulator Implants for Chronic Pain,2718385,Iceland,,
1015,Shoulder,GENUTECH Genutrain OA Prosthetic Knee Implant,4841289,Iceland,,
1016,Brain,Neuroprosthetic Chips,72046,China,Communication Vulnerabilities,8
1017,Foot,GENUTECH Genutrain OA Prosthetic Knee Implant,1518818,USA,,
1018,Brain,POWER KNEE by Össur,3748611,Germany,,
1019,Foot,DePuy Synthes ATTUNE® Primary Total Hip System,4514658,USA,,
1020,Bladder,Integra LifeSciences Cadence Total Ankle System,4547631,USA,Weak Password Policy,7
1021,Ankle,Cardiac Implant Chips,3315731,USA,,
1022,Ankle,Retinal Implant Chips,3755461,USA,Communication Vulnerabilities,1
1023,Arm,Össur Proprio Foot Prosthetic Foot,3235032,Germany,,
1024,Pancreas,DePuy Synthes ATTUNE® Primary Total Hip System,2237957,USA,,
1025,Bladder,Advanced Bionics HiRes Ultra Cochlear Implant,3788125,USA,,
1026,Pancreas,Advanced Bionics HiRes Ultra Cochlear Implant,2605187,Iceland,,
1027,Arm,Cardiac Implant Chips,3575782,Germany,Weak Password Policy,7
1028,Bladder,Retinal Implant Chips,1813716,USA,Hardware Vulnerabilities,9
1029,Arm,Cochlear Implant Chips,160176,China,,
1030,Brain,Modular Prosthetic Limb Control System,3477930,Iceland,,
1031,Spine,Modular Prosthetic Limb Control System,4730039,USA,,
1032,Ankle,Artificial Pancreas Control Chips,874991,UK,,
1033,Foot,Retinal Implant Chips,3205291,Switzerland,,
1034,Arm,GENUTECH Genutrain OA Prosthetic Knee Implant,982982,Switzerland,,
1035,Limbs (Arm/Leg),POWER KNEE by Össur,2983594,Germany,,
1036,Shoulder,Modular Prosthetic Limb Control System,5971406,USA,,
1037,Eye,Zimmer Biomet Comprehensive Reverse Shoulder System,2856966,Germany,,
1038,Arm,Cochlear Implant Chips,2400814,USA,,
1039,Ear,Advanced Bionics HiRes Ultra Cochlear Implant,1601909,USA,,
1040,Spine,Cochlear Implant Chips,5709454,USA,,
1041,Pancreas,i-Limb Ultra Prosthetic Hand Control System,4210484,Germany,,
1042,Cochlea,Myoelectric Control Chips,5521812,USA,,
1043,Shoulder,Myoelectric Control Chips,1572608,Germany,Software Vulnerabilities,4
1044,Ear,Advanced Bionics HiRes Ultra Cochlear Implant,5887895,UK,,
1045,Leg,DePuy Synthes ATTUNE® Primary Total Hip System,3216116,USA,,
1046,Eye,Cardiac Implant Chips,5034749,USA,,
1047,Eye,Advanced Bionics HiRes Ultra Cochlear Implant,4645160,Germany,,
1048,Pancreas,i-Limb Ultra Prosthetic Hand Control System,891762,USA,,
1049,Brain,i-Limb Ultra Prosthetic Hand Control System,6986256,Switzerland,,
1050,Brain,DePuy Synthes ATTUNE® Primary Total Hip System,138906,China,,
1051,Arm,Neurostimulator Implants for Chronic Pain,4908413,Germany,,
1052,Leg,Neurostimulator Implants for Chronic Pain,2387957,USA,Hardware Vulnerabilities,5
1053,Ear,Artificial Urinary Sphincter Control System,1179067,USA,Communication Vulnerabilities,1
1054,Knee,Neuroprosthetic Chips,1639817,USA,Weak Password Policy,1
1055,Heart,i-Limb Ultra Prosthetic Hand Control System,4559203,USA,,
1056,Foot,Neurostimulator Implants for Chronic Pain,3893615,USA,,
1057,Bladder,i-Limb Ultra Prosthetic Hand Control System,3577028,UK,Hardware Vulnerabilities,7
1058,Arm,Neuroprosthetic Chips,6597625,USA,,
1059,Arm,Integra LifeSciences Cadence Total Ankle System,6265171,Iceland,,
1060,Brain,Neurostimulator Implants for Chronic Pain,153374,China,,
1061,Heart,Neuroprosthetic Chips,298463,China,Communication Vulnerabilities,8
1062,Hip,Retinal Implant Chips,195172,China,,
1063,Spine,Artificial Urinary Sphincter Control System,5781794,USA,,
1064,Eye,Neuroprosthetic Chips,5929751,Iceland,,
1065,Leg,POWER KNEE by Össur,2838433,UK,,
1066,Eye,Zimmer Biomet Comprehensive Reverse Shoulder System,827259,USA,,
1067,Shoulder,Myoelectric Control Chips,5870752,USA,,
1068,Spine,Artificial Urinary Sphincter Control System,3323186,USA,Software Vulnerabilities,1
1069,Brain,Modular Prosthetic Limb Control System,5347423,USA,,
1070,Spine,Retinal Implant Chips,245337,China,Hardware Vulnerabilities,9
1071,Cochlea,Retinal Implant Chips,3839087,USA,,
1072,Ankle,Advanced Bionics HiRes Ultra Cochlear Implant,5690619,Iceland,,
1073,Leg,Neuroprosthetic Chips,2834378,USA,,
1074,Limbs (Arm/Leg),Modular Prosthetic Limb Control System,5475645,Germany,Hardware Vulnerabilities,9
1075,Pancreas,Neurostimulator Implants for Chronic Pain,6976427,Germany,Software Vulnerabilities,4
1076,Cochlea,Össur Proprio Foot Prosthetic Foot,6582410,USA,,
1077,Hand,Össur Proprio Foot Prosthetic Foot,1884581,USA,Hardware Vulnerabilities,1
1078,Shoulder,GENUTECH Genutrain OA Prosthetic Knee Implant,3532812,USA,Hardware Vulnerabilities,7
1079,Spine,Neurostimulator Implants for Chronic Pain,3150914,USA,Communication Vulnerabilities,2
1080,Hand,Cardiac Implant Chips,6934938,USA,,
1081,Leg,Retinal Implant Chips,1938415,Switzerland,,
1082,Shoulder,Myoelectric Control Chips,6223986,Germany,,
1083,Arm,Zimmer Biomet Comprehensive Reverse Shoulder System,5490769,USA,,
1084,Spine,Myoelectric Control Chips,5189897,USA,,
1085,Eye,Zimmer Biomet Comprehensive Reverse Shoulder System,6323784,USA,,
1086,Ear,POWER KNEE by Össur,1043590,USA,,
1087,Brain,Advanced Bionics HiRes Ultra Cochlear Implant,1679266,USA,,
1088,Foot,Cochlear Implant Chips,1738075,USA,Hardware Vulnerabilities,6
1089,Limbs (Arm/Leg),i-Limb Ultra Prosthetic Hand Control System,5003632,Germany,,
1090,Knee,Cochlear Implant Chips,264990,China,,
1091,Hip,DePuy Synthes ATTUNE® Primary Total Hip System,4469242,Iceland,,
1092,Spine,DePuy Synthes ATTUNE® Primary Total Hip System,1073218,Iceland,,
1093,Arm,DePuy Synthes ATTUNE® Primary Total Hip System,1213955,USA,,
1094,Limbs (Arm/Leg),Cochlear Implant Chips,2447575,Germany,Software Vulnerabilities,6
1095,Arm,Advanced Bionics HiRes Ultra Cochlear Implant,6533751,Switzerland,Communication Vulnerabilities,2
1096,Ankle,Neurostimulator Implants for Chronic Pain,4478135,USA,,
1097,Limbs (Arm/Leg),Zimmer Biomet Comprehensive Reverse Shoulder System,6054133,USA,,
1098,Foot,i-Limb Ultra Prosthetic Hand Control System,5345987,Germany,,
1099,Limbs (Arm/Leg),POWER KNEE by Össur,937863,Iceland,,
1100,Shoulder,Integra LifeSciences Cadence Total Ankle System,1239276,USA,Communication Vulnerabilities,3
1101,Eye,Neurostimulator Implants for Chronic Pain,2575497,Switzerland,,
1102,Hand,Myoelectric Control Chips,272420,China,Communication Vulnerabilities,7
1103,Spine,Myoelectric Control Chips,6479519,USA,,
1104,Heart,Zimmer Biomet Comprehensive Reverse Shoulder System,2337905,USA,,
1105,Pancreas,Artificial Urinary Sphincter Control System,3765194,USA,,
1106,Limbs (Arm/Leg),Artificial Pancreas Control Chips,4193491,USA,,
1107,Ear,Modular Prosthetic Limb Control System,1074558,USA,,
1108,Arm,Artificial Urinary Sphincter Control System,2038498,USA,,
1109,Limbs (Arm/Leg),DePuy Synthes ATTUNE® Primary Total Hip System,2856635,Iceland,,
1110,Bladder,Cardiac Implant Chips,2934207,Germany,,
1111,Ankle,Zimmer Biomet Comprehensive Reverse Shoulder System,4322883,USA,,
1112,Eye,POWER KNEE by Össur,6187720,USA,,
1113,Bladder,Neuroprosthetic Chips,6132432,USA,Software Vulnerabilities,8
1114,Spine,Zimmer Biomet Comprehensive Reverse Shoulder System,4957893,USA,,
1115,Cochlea,POWER KNEE by Össur,6755866,Germany,,
1116,Shoulder,POWER KNEE by Össur,273547,China,Hardware Vulnerabilities,9
1117,Bladder,Neurostimulator Implants for Chronic Pain,2203761,Germany,,
1118,Spine,i-Limb Ultra Prosthetic Hand Control System,2299965,USA,,
1119,Eye,DePuy Synthes ATTUNE® Primary Total Hip System,3331004,USA,,
1120,Knee,DePuy Synthes ATTUNE® Primary Total Hip System,3828539,USA,Communication Vulnerabilities,9
1121,Ear,Össur Proprio Foot Prosthetic Foot,6959882,Switzerland,Software Vulnerabilities,9
1122,Brain,Integra LifeSciences Cadence Total Ankle System,2927854,USA,,
1123,Ankle,DePuy Synthes ATTUNE® Primary Total Hip System,6628017,Germany,,
1124,Hip,Myoelectric Control Chips,6106609,Germany,,
1125,Leg,Modular Prosthetic Limb Control System,6270067,Iceland,,
1126,Cochlea,Neurostimulator Implants for Chronic Pain,1269354,Germany,,
1127,Eye,Artificial Pancreas Control Chips,104072,China,Software Vulnerabilities,8
1128,Brain,Össur Proprio Foot Prosthetic Foot,4120266,USA,,
1129,Ear,i-Limb Ultra Prosthetic Hand Control System,1101122,USA,,
1130,Arm,Myoelectric Control Chips,6705770,Iceland,,
1131,Shoulder,Artificial Urinary Sphincter Control System,1008309,Germany,,
1132,Eye,GENUTECH Genutrain OA Prosthetic Knee Implant,4169234,Switzerland,,
1133,Pancreas,Integra LifeSciences Cadence Total Ankle System,2379502,USA,,
1134,Bladder,Neurostimulator Implants for Chronic Pain,5915930,USA,,
1135,Pancreas,Artificial Urinary Sphincter Control System,6515530,USA,,
1136,Shoulder,Cardiac Implant Chips,6573119,USA,,
1137,Spine,Cardiac Implant Chips,2219226,USA,,
1138,Ear,DePuy Synthes ATTUNE® Primary Total Hip System,3567271,USA,,
1139,Hip,i-Limb Ultra Prosthetic Hand Control System,2819887,USA,Software Vulnerabilities,8
1140,Pancreas,POWER KNEE by Össur,6431030,Iceland,Weak Password Policy,2
1141,Arm,GENUTECH Genutrain OA Prosthetic Knee Implant,5665189,USA,,
1142,Foot,Neurostimulator Implants for Chronic Pain,1623168,USA,,
1143,Leg,Myoelectric Control Chips,3932269,USA,,
1144,Spine,Artificial Urinary Sphincter Control System,1151857,UK,,
1145,Ankle,POWER KNEE by Össur,1553224,Iceland,,
1146,Spine,Myoelectric Control Chips,3873244,USA,,
